name,date,author,risk_score,severity,tactic,technique,subtechnique
Excessive Web Traffic,2023/08/14,['Spencer Brown'],25,low,Discovery,T1046 - Network Service Discovery,none - none
Web Scanner Activity - Nmap and Nikto,2023/08/14,['Spencer Brown'],25,low,Discovery,T1046 - Network Service Discovery,none - none
